Name,Score,Japanese name,Type,Favorites,Completed
Petshop of Horrors,7.27,Pet Shop of Horrors (ペットショップ・オブ・ホラーズ),TV,339,33334
Puchi Pri*Yucie,7.42,ぷちぷり＊ユーシィ,TV,83,6683
Piano (TV),6.02,PIANO,TV,8,3396
Planetes,8.31,プラネテス,TV,3540,70506
Midori no Hibi,7.28,美鳥の日々,TV,603,97410
Mahoujin Guruguru,7.61,魔法陣グルグル,TV,66,3374
Dokidoki♡Densetsu: Mahoujin Guruguru,7.19,ドキドキ♡伝説 魔法陣グルグル,TV,9,1563
Mama wa Shougaku 4 Nensei,7.21,ママは小学４年生,TV,24,2071
Marmalade Boy,7.49,ママレード・ボーイ,TV,578,20651
Matantei Loki Ragnarok,7.29,魔探偵ロキ RAGNAROK,TV,208,18599
Ginyuu Mokushiroku Meine Liebe,6.46,吟遊黙示録 マイネリーベ,TV,34,4246
Psychic Academy,6.24,サイキックアカデミー煌羅万象,TV,8,5925
Versailles no Bara,8.33,ベルサイユのばら,TV,2375,25057
Serial Experiments Lain,8.03,シリアルエクスペリメンツレイン,TV,16764,218721
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.59,陸奥圓明流外伝 修羅の刻,TV,131,11039
Spiral: Suiri no Kizuna,7.25,スパイラル -推理の絆-,TV,324,25819
Starship Operators,7,スターシップ・オペレーターズ,TV,39,5725
Tsukuyomi: Moon Phase,7,月詠 −MOON PHASE−,TV,300,31849
Futatsu no Spica,7.37,ふたつのスピカ,TV,63,4077
Eikoku Koi Monogatari Emma,7.67,英國戀物語エマ,TV,270,17473
W: Wish,6.19,W 〜ウィッシュ〜,TV,16,6726
Wild Arms: Twilight Venom,6.66,ワイルドアームズ トワイライトヴェノム,TV,15,3355
Binzume Yousei,6.45,瓶詰妖精,TV,48,8775
Magical Canan,6.19,まじかるカナン,TV,5,1668
Ojamajo Doremi,7.21,おジャ魔女どれみ,TV,491,24758
Ojamajo Doremi Sharp,7.34,おジャ魔女どれみ＃,TV,78,11846
Motto! Ojamajo Doremi,7.34,も〜っと！おジャ魔女どれみ,TV,105,11423
Ojamajo Doremi Dokkaan!,7.59,おジャ魔女どれみドッカ〜ン！,TV,181,8257
UG☆Ultimate Girls,5.63,UG☆アルティメットガール,TV,4,3865
Shakugan no Shana,7.51,灼眼のシャナ,TV,5502,288718
Fate/stay night,7.34,Fate/stay night,TV,7011,510563
Bokusatsu Tenshi Dokuro-chan,6.59,撲殺天使ドクロちゃん,OVA,738,125119
"Iriya no Sora, UFO no Natsu",6.99,イリヤの空、UFOの夏,OVA,71,12756
I'll/CKBC,6.3,I'll/CKBC,OVA,5,2536
Himiko-den,6.24,火魅子伝,TV,4,2224
Memories Off,5.93,Memories Off (メモリーズオフ),OVA,4,2622
Memories Off 2nd,6.3,Memories Off 2nd (メモリーズオフ 2nd),OVA,1,1952
Memories Off 3.5,6.29,Memories Off 3.5 [メモリーズオフ3.5],OVA,0,1532
Gallery Fake,7.47,ギャラリーフェイク,TV,54,3237
Fake,6.54,FAKE,OVA,54,13736
AIKa,5.94,ＡＩＫａ,OVA,54,15937
Akazukin Chacha OVA,7.05,赤ずきんチャチャ (1995),OVA,5,1333
Bible Black,6.65,バイブルブラック,OVA,647,39249
Boogiepop wa Warawanai,7.17,ブギーポップは笑わない Boogiepop Phantom,TV,770,29544
Burn Up Excess,6.55,バーンナップEXCESS,TV,17,5216
Cardcaptor Sakura Movie 1,7.64,劇場版 カードキャプターさくら,Movie,1378,72799
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.22,劇場版 カードキャプターさくら 封印されたカード,Movie,1663,82231
Bannou Bunka Neko-Musume,6.7,万能文化猫娘,OVA,25,5120
Bannou Bunka Neko-Musume DASH!,6.37,万能文化猫娘ＤＡＳＨ！,OVA,6,2576
Bannou Bunka Neko-Musume (1998),6.53,万能文化猫娘,TV,7,3006
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.19,エルフェンリート 通り雨にて 或いは、少女はいかにしてその心情に至ったか?（REGENSCHAUER）,Special,309,142339
eX-Driver,6.73,エクスドライバー,OVA,33,5151
eX-Driver the Movie,6.64,エクスドライバー the Movie,Movie,3,2976
Heppoko Jikken Animation Excel♥Saga,7.5,へっぽこ実験アニメーション エクセル♥サーガ,TV,947,47372
