2020年,四街道市,93632,46355,47277
2020年,袖ケ浦市,63906,32211,31695
2020年,八街市,67480,34121,33359
2020年,印西市,102651,50569,52082
2020年,白井市,62470,30927,31543
2020年,富里市,49762,25307,24455
2020年,南房総市,35844,17009,18835
2020年,匝瑳市,35099,17264,17835
2020年,香取市,72427,35630,36797
2020年,山武市,48462,24195,24267
2020年,いすみ市,35571,17374,18197
2020年,大網白里市,48155,23552,24603
2020年,酒々井町,20760,10160,10600
2020年,栄町,20140,9868,10272
2020年,神崎町,5820,2938,2882
2020年,多古町,13748,6942,6806
2020年,東庄町,13235,6578,6657
2020年,九十九里町,14644,7203,7441
2020年,芝山町,7042,3478,3564
2020年,横芝光町,22091,10771,11320
2020年,一宮町,11900,5827,6073
2020年,睦沢町,6768,3259,3509
2020年,長生村,13808,6800,7008
2020年,白子町,10311,5115,5196
2020年,長柄町,6725,3291,3434
2020年,長南町,7205,3529,3676
2020年,大多喜町,8899,4312,4587
2020年,御宿町,6882,3258,3624
2020年,鋸南町,6998,3356,3642
2020年,東京都,14064696,6902188,7162508
2020年,特別区部,9744534,4776168,4968366
2020年,千代田区,66758,33686,33072
2020年,中央区,169318,80969,88349
2020年,港区,260851,123542,137309
2020年,新宿区,349743,174810,174933
2020年,文京区,240297,115547,124750
2020年,台東区,211779,108617,103162
2020年,墨田区,272190,134775,137415
2020年,江東区,524547,258009,266538
2020年,品川区,422795,208753,214042
2020年,目黒区,288501,135930,152571
2020年,大田区,748291,372452,375839
2020年,世田谷区,948147,447114,501033
2020年,渋谷区,244067,117893,126174
2020年,中野区,345089,172361,172728
2020年,杉並区,592241,284781,307460
2020年,豊島区,302098,151047,151051
2020年,北区,355501,176122,179379
2020年,荒川区,217713,107726,109987
2020年,板橋区,584403,285903,298500
2020年,練馬区,753045,361682,391363
2020年,足立区,695530,347413,348117
2020年,葛飾区,453441,225849,227592
2020年,江戸川区,698189,351187,347002
2020年,八王子市,579605,291381,288224
2020年,立川市,187089,92702,94387
2020年,武蔵野市,150102,71837,78265
2020年,三鷹市,195558,94550,101008
2020年,青梅市,133587,66631,66956
2020年,府中市,262932,131474,131458
2020年,昭島市,114053,56658,57395
2020年,調布市,242721,117046,125675
2020年,町田市,431525,210812,220713
2020年,小金井市,126253,61799,64454
2020年,小平市,198977,97492,101485
2020年,日野市,190261,94809,95452
2020年,東村山市,151941,73820,78121
2020年,国分寺市,129353,63005,66348
2020年,国立市,77167,37510,39657
2020年,福生市,56443,28030,28413
2020年,狛江市,84807,41033,43774
2020年,東大和市,83952,41037,42915
2020年,清瀬市,76258,36537,39721
2020年,東久留米市,115227,55558,59669
2020年,武蔵村山市,70863,35262,35601
2020年,多摩市,147169,71739,75430
2020年,稲城市,93171,46882,46289
2020年,羽村市,54341,27479,26862
2020年,あきる野市,79366,39286,40080
2020年,西東京市,207389,100969,106420
2020年,瑞穂町,31774,15998,15776
2020年,日の出町,17048,8394,8654
2020年,檜原村,2003,983,1020
2020年,奥多摩町,4752,2389,2363
2020年,大島町,7104,3665,3439
2020年,利島村,327,197,130
2020年,新島村,2441,1204,1237
2020年,神津島村,1857,953,904
2020年,三宅村,2274,1271,1003
2020年,御蔵島村,323,181,142
2020年,八丈町,7048,3539,3509
2020年,青ヶ島村,169,102,67
2020年,小笠原村,2932,1806,1126
2020年,神奈川県,9240411,4587059,4653352
2020年,横浜市,3778318,1865940,1912378
2020年,横浜市鶴見区,297555,153284,144271
2020年,横浜市神奈川区,247322,125792,121530
2020年,横浜市西区,104917,53072,51845
2020年,横浜市中区,151388,77100,74288
2020年,横浜市南区,198054,98747,99307
2020年,横浜市保土ケ谷区,207816,101812,106004
2020年,横浜市磯子区,166795,82038,84757
2020年,横浜市金沢区,199033,96963,102070
2020年,横浜市港北区,358678,179055,179623
2020年,横浜市戸塚区,283908,138250,145658
2020年,横浜市港南区,215196,104971,110225
2020年,横浜市旭区,245272,118182,127090
2020年,横浜市緑区,183147,90112,93035
2020年,横浜市瀬谷区,122671,59336,63335
2020年,横浜市栄区,120263,58545,61718
2020年,横浜市泉区,152452,73907,78545
2020年,横浜市青葉区,310699,150208,160491
2020年,横浜市都筑区,213152,104566,108586
2020年,川崎市,1539081,775849,763232
2020年,川崎市川崎区,233228,125182,108046
2020年,川崎市幸区,171188,86703,84485
2020年,川崎市中原区,263785,133902,129883
2020年,川崎市高津区,234342,116321,118021
2020年,川崎市多摩区,221853,112909,108944
2020年,川崎市宮前区,233796,113359,120437
2020年,川崎市麻生区,180889,87473,93416
2020年,相模原市,725302,361815,363487
